产品类型,案例目录,案例编号（非必填）,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
,,,A股非算法单限价：用户提供限价和交易对手，系统直接返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：000001，数量：5000股，方向：买入，价格类型：限价18.12，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""000001 买入5000股 限价18.12 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码000001.SZ、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格18.12、交易对手，并列出匹配到的其他标的选项。提示【如订单无误，请引用本消息回复确认下单】,已通过,,,,,,,,,
,,,A股非算法单市价：A股非算法单仅支持限价，缺少限价价格，系统提示补充,用户在企业微信群中，机器人已接入,标的：000001，数量：5000股，方向：买入，价格类型：市价，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""000001 买入5000股 市价 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种、委托数量、委托方向、交易对手。提示【待补全必填项：限定价格】、【待补全必填项：价格类型】，要求用户引用本消息补充【限定价格】【价格类型】,已通过,,,,,,,,,
,,,A股算法单限价（TWAP）：用户同时提供限价和算法，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：000001，数量：5000股，方向：买入，价格类型：限价18.12，算法单TWAP，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""000001 买入5000股 限价18.12 11125测试短名（张天琪专用）TWAP @场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种、委托数量、委托方向、价格类型限价委托、限定价格18.12、算法类型TWAP、算法开始/结束时间、交易对手，并列出匹配到的其他标的选项。提示【如订单无误，请引用本消息回复确认下单】,已通过,,,,,,,,,
,,,A股算法单市价（TWAP）：算法单支持市价，系统直接返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：000001，数量：5000股，方向：买入，价格类型：市价，算法单TWAP，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""000001 买入5000股 市价 11125测试短名（张天琪专用）TWAP @场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种、委托数量、委托方向、价格类型市价委托、算法类型TWAP、算法开始/结束时间、交易对手，并列出匹配到的其他标的选项。提示【如订单无误，请引用本消息回复确认下单】,已通过,,,,,,,,,
,,,深港通非算法单限价：用户提供限价和交易对手，深港通非算法单支持限价，系统直接返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：深港通1357.HK，数量：1000股，方向：买入，价格类型：限价18，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""深港通1357.HK 买入1000股 限价18 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码1357.HK、标的名称、交易品种深港通、委托数量、委托方向买入、价格类型限价委托、限定价格18、交易对手。提示【如订单无误，请引用本消息回复确认下单】,已通过,,,,,,,,,
,,,深港通非算法单市价：深港通只支持限价单，缺少限价价格和价格类型，系统提示补充,用户在企业微信群中，机器人已接入,标的：深港通1357.HK，数量：1000股，方向：买入，价格类型：市价，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""深港通1357.HK 买入1000股 市价 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种、委托数量、委托方向、交易对手。提示【待补全必填项：限定价格】、【待补全必填项：价格类型】，说明【深港通只支持限价单】。要求用户引用本消息补充【限定价格】【价格类型】,已通过,,,,,,,,,
,,,深港通算法单限价（TWAP）：用户同时提供限价和算法，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：深港通1357.HK，数量：1000股，方向：买入，价格类型：限价18，算法单TWAP，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""深港通1357.HK 买入1000股 限价18 11125测试短名（张天琪专用）TWAP @场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种、委托数量、委托方向、价格类型限价委托、限定价格18、算法类型TWAP、算法开始/结束时间、交易对手。提示【如订单无误，请引用本消息回复确认下单】,已通过,,,,,,,,,
,,,深港通算法单市价（TWAP）：深港通算法单支持市价，系统直接返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：深港通1357.HK，数量：1000股，方向：买入，价格类型：市价，算法单TWAP，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""深港通1357.HK 买入1000股 市价 11125测试短名（张天琪专用）TWAP @场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种、委托数量、委托方向、价格类型市价委托、算法类型TWAP、算法开始/结束时间、交易对手。提示【如订单无误，请引用本消息回复确认下单】,已通过,,,,,,,,,
,,,沪港通非算法单限价：用户提供限价和交易对手，沪港通非算法单支持限价，系统直接返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：沪港通0590.HK，数量：1000股，方向：买入，价格类型：限价18，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""沪港通0590.HK 买入1000股 限价18 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码0590.HK、标的名称、交易品种沪港通、委托数量、委托方向买入、价格类型限价委托、限定价格18、交易对手。提示【如订单无误，请引用本消息回复确认下单】,已通过,,,,,,,,,
,,,沪港通非算法单市价：沪港通只支持限价单，缺少限价价格和价格类型，系统提示补充,用户在企业微信群中，机器人已接入,标的：沪港通0590.HK，数量：1000股，方向：买入，价格类型：市价，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""沪港通0590.HK 买入1000股 市价 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种、委托数量、委托方向、交易对手。提示【待补全必填项：限定价格】、【待补全必填项：价格类型】，说明【沪港通只支持限价单】。要求用户引用本消息补充【限定价格】【价格类型】,已通过,,,,,,,,,
,,,沪港通算法单限价（TWAP）：用户同时提供限价和算法，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：沪港通0590.HK，数量：1000股，方向：买入，价格类型：限价18，算法单TWAP，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""沪港通0590.HK 买入1000股 限价18 11125测试短名（张天琪专用）TWAP @场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种、委托数量、委托方向、价格类型限价委托、限定价格18、算法类型TWAP、算法开始/结束时间、交易对手。提示【如订单无误，请引用本消息回复确认下单】,已通过,,,,,,,,,
