测试编号,前置条件,测试场景,用例类型,优先级,测试数据,预期结果,备注
,,期权询价：精准代码匹配-唯一命中(A股)-无候选列表,功能,P0,"300098.SZ,100%call,1M",机器人唯一命中标的300098.SZ，返回询价结果,已通过
,,期权询价：代码+名称结合-交叉验证唯一命中,功能,P0,"000155 川能动力,100%call,1M",命中：标的代码=000155.SZ，标的名称=川能动力（长名）,已通过
,,期权询价：代码+名称结合-代码与名称间无空格,功能,P1,"000155川能动力,100%call,1M",命中：标的代码=000155.SZ，标的名称=川能动力（长名）,已通过
,,期权询价：代码+名称结合-名称在前代码在后,功能,P2,"川能动力000155,100%call,1M",命中：标的代码=000155.SZ，标的名称=川能动力（长名）,已通过
,,期权询价：名称模糊匹配-短名,功能,P0,川能，100%call，1M,命中：标的代码=000155.SZ，标的名称=川能动力（长名）,已通过
,,期权询价：A+H多市场候选展示,功能,P0,平安，100call，3M,默认一个标的；候选列表列出各市场标的，仅展示前5个候选（按优先级排序）,已通过
,,期权询价：模糊匹配-仅输入部分代码前缀(4位数字),边界值,P1,"3000,100%call,1M",机器人模糊匹配以3000开头的标的：若匹配到多个（如300098.SZ等）列出候选≤5,已通过
,,期权询价：模糊匹配-仅输入代码中间段,边界值,P2,"0098,100%call,1M",机器人模糊匹配代码中包含0098的标的（如300098.SZ、000098等）,已通过
,,期权询价：模糊匹配-仅输入数字无市场后缀,功能,P1,"300098,100%call,1M",机器人尝试匹配代码300098：若唯一命中300098.SZ则直接返回,已通过
,,期权询价：纯数字6位(A股标准无后缀),功能,P1,"600519,100%call,1M",机器人将6位纯数字识别为A股代码，唯一命中600519.SH，返回长名标的。无候选列表,已通过
,,期权询价：代码无点号连接市场后缀,功能,P1,"300098SZ,100%call,1M",机器人正确解析无点号的代码+后缀：300098SZ→300098.SZ，唯一命中返回长名,已通过
,,期权询价：代码前导零差异,功能,P1,"00155,100%call,1M",命中：标的代码=000155.SZ，标的名称=川能动力（长名）；无候选列表。方向=看涨，期限=1M,已通过
,,期权询价：名称含空格(多词标的名),功能,P1,"中国 平安,100%call,1M",多候选列出各市场平安相关标的，长名展示,已通过
,,期权询价：输入为完整长名(含公司后缀),功能,P2,"拓荆科技股份有限公司,100%call,1M",机器人用完整长名匹配，唯一命中688072.SH，返回长名（与输入一致）。验证长名可同时作为输入和输出,已通过
,,期权询价：名称含括号(半角),功能,P2,"中国平安(集团),100%call,1M",模糊匹配到中国平安相关标的，列候选≤5,已通过
,,期权询价：名称含括号(全角）,功能,P1,"中国平安（集团）,100%call,1M",全角括号后模糊匹配，结果与半角括号输入一致,已通过
,,期权询价：标的代码和名称混合但代码残缺,边界值,P2,"00015 川能动力,100%call,1M",唯一命中或列少量候选,已通过
,,期权询价：仅市场后缀无代码,异常,P2,"SZ,100%call,1M",无法解析标的，返回标的缺失或无结果提示  或者有候选代码，展示前5个候选（按优先级排序）,已通过
,,期权询价：仅市场后缀加点号无代码,异常,P2,".SZ,100%call,1M",无法解析标的，返回标的缺失或无结果提示  或者有候选代码，展示前5个候选（按优先级排序）,已通过
,,期权询价：标的名称+乱码尾缀,异常,P2,"中国平安abc123,100%call,1M",唯一命中或列少量候选,已通过
,,市场后缀前置-深圳市场(.SZ写前面),功能,P1,SZ .159984 100call 3M,机器人正确解析：SZ识别为深圳市场，.159984为代码；标的=159984.SZ；返回对应长名标的的询价结果；方向=看涨，期限=3M,失败
,,期权类型前置-标的位置非首位,功能,P1,"欧式看涨,688072.SH,80%,1M",机器人正确识别：期权类型=欧式看涨；标的=688072.SH-拓荆科技股份有限公司（长名）；行权价格=80%，期限=1M,已通过
,,数字和后缀中间存在中文逗号,功能,P2,300098，SZ，100%call，1M,机器人正确处理混合逗号分隔符，标的识别正确,已通过
,,数字和后缀中间存在中文逗号+空格,功能,P2,300098， SZ ， 100%call ， 1M,机器人同时处理中文逗号和前后空格，标的识别正确,已通过
,,错误标的代码,异常,P0,"999999.ZZ,100%call,1M",[999999.ZZ]未搜索到相关标的信息，请联系对口销售或交易员,已通过
,,不存在的公司名称,异常,P0,"花果山科技有限公司,100%call,1M",[花果山科技有限公司]未搜索到相关标的信息，请联系对口销售或交易员,已通过
,,标的-乱码/特殊字符输入,异常,P1,"@#$%^&,100%call,1M",抱歉，我们目前无法识别您的意图。您可以按照下方格式发送指令：,已通过
,,标的缺失,异常,P1,"100%call,1M",未能从您的指令中识别到有效标的，请联系对口销售或交易员,已通过
