产品类型,案例目录,案例编号（非必填）,市场,相关参数,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
http://jira.gf.com.cn/browse/CWAIJY-548,,,,,,,,,,,,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,,,"A股非算法单限价,金额下单",用户在微信群中，机器人已接入,标的：000001，金额：500，股，方向：买入，价格类型：限价18.12，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""000001 买入5000股 限价18.12 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码000001.SZ、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格18.12、交易对手。提示【如订单无误，请引用本消息回复确认下单】,,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,A股,POV参与率,最大跟量,用户在微信群中，机器人已接入,标的：600519.SH，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：600519.SH，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）""",机器人返回信息里面包括\n\nPOV比例：10%,待开发,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,港股,POV参与率,最大跟量,用户在微信群中，机器人已接入,标的：3690.HK，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：3690.HK，买入 数量2000，限价5，最大跟量25%，交易对手：11125测试短名（张天琪专用）""",机器人返回信息里面包括\n\nPOV比例：50%,待开发,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,美股,POV参与率,最大跟量,用户在微信群中，机器人已接入,标的：美股AAPL，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：美股AAPL，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）""",机器人返回信息里面包括\n\nPOV比例：50%,待开发,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,沪港通,POV参与率,最大跟量,用户在微信群中，机器人已接入,标的：沪港通0590.HK，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：沪港通0590.HK，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）""",机器人返回信息里面包括\n\nPOV比例：50%,待开发,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,深港通,POV参与率,最大跟量,用户在微信群中，机器人已接入,标的：深港通1357.HK，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：深港通1357.HK，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）""",机器人返回信息里面包括\n\nPOV比例：50%,待开发,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,期货,POV参与率,最大跟量,用户在微信群中，机器人已接入,标的：AL220311.LME，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：AL220311.LME，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）""",机器人返回信息里面包括\n\nPOV比例：50%,待开发,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,A股,POV参与率,跟量比例5%,用户在微信群中，机器人已接入,标的：600519.SH，买入 数量2000，限价5，跟量比例5%，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：600519.SH，买入 数量2000，限价5，跟量比例5%，交易对手：11125测试短名（张天琪专用）""",机器人返回详情里面包括\n\nPOV比例：5%,待开发,,,,,,,,,
http://jira.gf.com.cn/browse/CWAIJY-548,,,港股,POV参与率,跟量比例20%,用户在微信群中，机器人已接入,标的：3690.HK，买入 数量2000，限价5，跟量比例20%，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：3690.HK，买入 数量2000，限价5，跟量比例20%，交易对手：11125测试短名（张天琪专用）""",机器人返回详情里面包括\n\nPOV比例：20%,已通过,,,,,,,,,
