序号,产品全称,买入数量,证券名称,证券代码,文本6
1,10908测试短名（lmx专用）,1000,Coherent Corp,COHR,市价，跟量5%
2,10908测试短名（lmx专用）,1100,Western Digital Corp,WDC,
3,10908测试短名（lmx专用）,3100,ASTERA LABS,ALAB,TWAP到收盘
4,10908测试短名（lmx专用）,3100,Western Digital Corp,WDC,限价340
5,10908测试短名（lmx专用）,1000,智谱,02513,
,,,,,
6,alab买入40000股，市价跟量30%，算法开始时间：1:00，算法结束时间：4:00,,,,
7,02513智谱买入7000股，市价跟量30%,,,,
8,603529.SH 买入1000股  限价10 占25%17：00-18：00 10908测试短名（lmx专用）,,,,
9,0013.HK沪港通 限价6 卖出1500股 10908测试短名（lmx专用）,,,,
10,0700 限价510 卖空100股 10908测试短名（lmx专用）,,,,
11,AAPL苹果市价 平空100股 10908测试短名（lmx专用）,,,,
12,10908测试短名（lmx专用），买入开仓，GC2606合约，13手，不限价，ASAP,,,,
13,MNQM26E.CME，卖出1手，限价25220，10908测试短名（lmx专用）,,,,
14,10908测试短名（lmx专用）买入平仓，GC2606，148手，不限价，POV 6%,,,,
15,"10908测试短名（lmx专用），买入平仓，大阪日经指数期货2606, 8张，不限价",,,,
16,10908测试短名（lmx专用），买入平仓，东证指数期货2606合约，2张，不限价，ASAP,,,,
17,麻烦15.10以上卖出12万股广州酒家，半小时均价,,,,
,,,,,
18,产品名：【10908测试短名（lmx专用）】,,,,
,日期：2026-04-10,,,,
,标的：贵州茅台,,,,
,代码：600519,,,,
,交易方向：卖出平仓,,,,
,股数：10000股,,,,
,交易方式：TWAP全天,,,,
,,,,,
19,10908测试短名（lmx专用）,,,,
,标的：禾赛 ,,,,
,方向： 卖出  ,,,,
,股数/金额：1000万人民币,,,,
,建仓方式：POV20%，不限价   ,,,,
,备注：根据市场成交量成交,,,,
20,以下产品卖出09988 阿里巴巴，总跟量4%，市价,,,,
,产品名称,数量,,,
,10908测试短名（lmx专用）,1000,,,
,11035测试短名,1100,,,
