产品类型,案例目录,案例编号（非必填）,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
,,,A股互换按金额下单：用户未填币种，默认CNY，限价非算法单买入，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：000001，金额：100000，方向：买入，价格类型：限价18.12，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""000001 买入100000 限价18.12 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码000001.SZ、标的名称、交易品种A股、委托金额100,000.00、币种CNY、委托方向买入、价格类型限价委托、限定价格18.12、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,A股互换按金额下单：用户明确指定币种CNY，限价非算法单卖出，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：000001，金额：50000CNY，方向：卖出，价格类型：限价18.50，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""000001 卖出50000CNY 限价18.50 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码000001.SZ、标的名称、交易品种A股、委托金额50,000.00、币种CNY、委托方向卖出、价格类型限价委托、限定价格18.50、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,A股互换按金额下单：未填币种默认CNY，市价算法单TWAP买入，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：000001，金额：200000，方向：买入，价格类型：市价，算法单TWAP，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""000001 买入200000 市价 11125测试短名（张天琪专用）TWAP @场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码000001.SZ、标的名称、交易品种A股、委托金额200,000.00、币种CNY、委托方向买入、价格类型市价委托、算法类型TWAP、算法开始/结束时间、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,A股互换按金额下单：未填币种默认CNY，限价算法单VWAP卖出，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：000001，金额：150000，方向：卖出，价格类型：限价19.00，算法单VWAP，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""000001 卖出150000 限价19.00 11125测试短名（张天琪专用）VWAP @场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码000001.SZ、标的名称、交易品种A股、委托金额150,000.00、币种CNY、委托方向卖出、价格类型限价委托、限定价格19.00、算法类型VWAP、算法开始/结束时间、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,A股互换按金额下单：用户指定无效币种USD（A股仅支持CNY），系统提示币种无效,用户在企业微信群中，机器人已接入,标的：000001，金额：100000USD，方向：买入，价格类型：限价18.12，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""000001 买入100000USD 限价18.12 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回提示：币种USD无效，A股互换仅支持币种CNY，请重新输入,业务提出，通常不会有此场景,,,,,,,,,
,,,A股互换按金额下单：非算法单市价（A股非算法单不支持市价），系统提示补全限价和价格类型,用户在企业微信群中，机器人已接入,标的：000001，金额：100000元，方向：买入，价格类型：市价，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""000001 买入100000元 市价 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种、委托金额100,000.00、币种CNY、委托方向、交易对手。提示【待补全必填项：限定价格】、【待补全必填项：价格类型】，要求用户引用本消息补充【限定价格】【价格类型】",,,,,,,,,,
,,,深港通互换按金额下单：未填币种默认CNY，限价非算法单买入，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：深港通1357.HK，金额：50000，方向：买入，价格类型：限价18，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""深港通1357.HK 买入50000 限价18 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码1357.HK、标的名称、交易品种深港通、委托金额50,000.00、币种CNY、委托方向买入、价格类型限价委托、限定价格18、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,深港通互换按金额下单：用户指定标的币种HKD，限价非算法单卖出，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：深港通1357.HK，金额：78000HKD，方向：卖出，价格类型：限价19.50，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""深港通1357.HK 卖出78000HKD 限价19.50 11125测试短名（张天琪专用）@场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码1357.HK、标的名称、交易品种深港通、委托金额78,000.00、币种HKD、委托方向卖出、价格类型限价委托、限定价格19.50、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,深港通互换按金额下单：用户明确指定CNY，市价算法单TWAP买入，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：深港通1357.HK，金额：100000CNY，方向：买入，价格类型：市价，算法单TWAP，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""深港通1357.HK 买入100000CNY 市价 11125测试短名（张天琪专用）TWAP @场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码1357.HK、标的名称、交易品种深港通、委托金额100,000.00、币种CNY、委托方向买入、价格类型市价委托、算法类型TWAP、算法开始/结束时间、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,深港通互换按金额下单：用户指定HKD，市价算法单TWAP卖出，系统返回完整订单并提示确认,用户在企业微信群中，机器人已接入,标的：深港通1357.HK，金额：150000HKD，方向：卖出，价格类型：市价，算法单TWAP，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""深港通1357.HK 卖出150000HKD 市价 11125测试短名（张天琪专用）TWAP @场外AI交易助手测试C""","机器人返回场外收益互换详情，包含：单号、标的代码1357.HK、标的名称、交易品种深港通、委托金额150,000.00、币种HKD、委托方向卖出、价格类型市价委托、算法类型TWAP、算法开始/结束时间、交易对手。提示【如订单无误，请引用本消息回复确认下单】",,,,,,,,,,
,,,深港通互换按金额下单：用户指定无效币种EUR（深港通仅支持CNY和HKD），系统提示币种无效,用户在企业微信群中，机器人已接入,标的：深港通1357.HK，金额：50000EUR，方向：买入，价格类型：限价18，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在企业微信群中@机器人输入指令：""深港通1357.HK 买入50000EUR 限价18 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回提示：币种EUR无效，深港通互换支持币种为CNY或HKD，请重新输入,,,,,,,,,,
