产品类型,案例目录,智能总结,案例编号（非必填）,相关参数,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
http://jira.gf.com.cn/browse/CWAIJY-548,,互换口语化指令产品类型无，其余字段均无,,,,,,,,,,,,,,,,,,
,,群中发指令买000001五千股限价18.12，机器人返互换详情,,,"A股非算法单限价, 金额下单",用户在微信群中，机器人已接入,标的：000001，金额：500，股，方向：买入，价格类型：限价18.12，非算法单，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""000001 买入5000股 限价18.12 11125测试短名（张天琪专用）@场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码000001.SZ、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格18.12、交易对手。提示【如订单无误，请引用本消息回复确认下单】,,,,,,,,,,
,,用户微信@机器人发买入茅台指令，机器人返互换详情并提示确认,,A股POV参与率,最大跟量,用户在微信群中，机器人已接入,标的：600519.SH，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：600519.SH，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码600519.SH、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例10%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,用户微信@机器人发指令，机器人返港股互换详情含POV50%,,港股POV参与率,最大跟量,用户在微信群中，机器人已接入,标的：3690.HK，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：3690.HK，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码3690.HK、标的名称、交易品种港股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,用户微信@机器人下单AAPL买2000限5，最大跟量，POV50%,,美股POV参与率,最大跟量,用户在微信群中，机器人已接入,标的：美股AAPL，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：美股AAPL，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码美股AAPL、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,微信群用户发指令，机器人返沪港通买入详情及POV比例,,沪港通POV参与率,最大跟量,用户在微信群中，机器人已接入,标的：沪港通0590.HK，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：沪港通0590.HK，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码沪港通0590.HK、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,用户微信@机器人发深港通买入指令，机器人返互换详情含POV50%,,深港通POV参与率,最大跟量,用户在微信群中，机器人已接入,标的：深港通1357.HK，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：深港通1357.HK，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码深港通1357.HK、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,群内发指令，机器人返互换详情含POV50%提示确认下单,,期货POV参与率,最大跟量,用户在微信群中，机器人已接入,标的：AL220311.LME，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：AL220311.LME，买入 数量2000，限价5，最大跟量，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码AL220311.LME、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,群内发买入指令，机器人返互换详情并提示确认下单,,A股POV参与率,跟量上限,用户在微信群中，机器人已接入,标的：600519.SH，买入 数量2000，限价5，跟量上限，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：600519.SH，买入 数量2000，限价5，跟量上限，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码600519.SH、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例10%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,用户微信@机器人发买入指令，机器人返互换详情含POV50%,,港股POV参与率,跟量上限,用户在微信群中，机器人已接入,标的：3690.HK，买入 数量2000，限价5，跟量上限，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：3690.HK，买入 数量2000，限价5，跟量上限，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码3690.HK、标的名称、交易品种港股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,用户微信@机器人发AAPL买入指令，机器人返互换详情邀确认,,美股POV参与率,跟量上限,用户在微信群中，机器人已接入,标的：美股AAPL，买入 数量2000，限价5，跟量上限，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：美股AAPL，买入 数量2000，限价5，跟量上限，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码美股AAPL、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,微信群用户指令买沪港通股，机器人返互换详情含POV50%,,沪港通POV参与率,跟量上限,用户在微信群中，机器人已接入,标的：沪港通0590.HK，买入 数量2000，限价5，跟量上限，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：沪港通0590.HK，买入 数量2000，限价5，跟量上限，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码沪港通0590.HK、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,用户微信@机器人发深港通买入指令，机器人返互换详情提示确认,,深港通POV参与率,跟量上限,用户在微信群中，机器人已接入,标的：深港通1357.HK，买入 数量2000，限价5，跟量上限，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：深港通1357.HK，买入 数量2000，限价5，跟量上限，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码深港通1357.HK、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,用户微信@机器人发买铝合约指令，机器人返POV50%详情待确认,,期货POV参与率,跟量上限,用户在微信群中，机器人已接入,标的：AL220311.LME，买入 数量2000，限价5，跟量上限，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：AL220311.LME，买入 数量2000，限价5，跟量上限，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码AL220311.LME、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,用户微信@机器人发买茅台指令，机器人返互换详情并提示确认,,A股POV参与率,最高跟量,用户在微信群中，机器人已接入,标的：600519.SH，买入 数量2000，限价5，最高跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：600519.SH，买入 数量2000，限价5，最高跟量，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码600519.SH、标的名称、交易品种A股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例10%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
,,,,港股POV参与率,最高跟量,用户在微信群中，机器人已接入,标的：3690.HK，买入 数量2000，限价5，最高跟量，交易对手：11125测试短名（张天琪专用）,1,"用户在微信群中@机器人输入指令：""标的：3690.HK，买入 数量2000，限价5，最高跟量，交易对手：11125测试短名（张天琪专用）""","机器人返回场外收益互换详情，包含：单号、标的代码3690.HK、标的名称、交易品种港股、委托数量、委托方向买入、价格类型限价委托、限定价格5、交易对手、POV比例50%。提示【如订单无误，请引用本消息回复确认下单】
",待开发,,,,,,,,,
