产品类型,案例目录,案例编号（非必填）,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
,,,,,查可平持仓,1,"用户在微信群中@机器人输入指令：
“查可平持仓”"," @彭惠琪 (6101e090-90a1-487c-88c2-100d865911c0)
以下是您的期权持仓：
-----场外期权持仓详情-----
序号：1
单号：CO-20260506-DEAF117C
合约编号：OPT-LYAFT20260001
期权类型：欧式看涨
标的信息：000155.SZ 川能动力
当日剩余可申请平仓名义本金：10,000,000
合约剩余名义本金：10,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：2
单号：CO-20260506-D28AC140
合约编号：OPT-SZZSCF20260001
期权类型：欧式看涨
标的信息：000155.SZ 川能动力
当日剩余可申请平仓名义本金：10,000,000
合约剩余名义本金：10,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：3
单号：CO-20260506-ED06B6DE
合约编号：OPT-SZZSCF20260002
期权类型：参与型看涨
标的信息：600007.SH 中国国贸
当日剩余可申请平仓名义本金：10,000,000
合约剩余名义本金：10,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：4
单号：CO-20260506-7C8DEF06
合约编号：OPT-SZZSCF20260004
期权类型：雪球
标的信息：002382.SZ 蓝帆医疗
当日剩余可申请平仓名义本金：10,000,000
合约剩余名义本金：10,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：5
单号：CO-20260506-C22AACDB
合约编号：OPT-SZZSCF20260005
期权类型：安全气囊
标的信息：300166.SZ 东方国信
当日剩余可申请平仓名义本金：10,000,000
合约剩余名义本金：10,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：6
单号：CO-20260506-09FEDE19
合约编号：OPT-SZZSCF20260011
期权类型：参与型看涨
标的信息：600007.SH 中国国贸
当日剩余可申请平仓名义本金：10,000,000
合约剩余名义本金：10,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：7
单号：CO-20260506-974C43D0
合约编号：OPT-SZZSCF20260012
期权类型：参与型看涨
标的信息：600007.SH 中国国贸
当日剩余可申请平仓名义本金：10,000,000
合约剩余名义本金：10,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：8
单号：CO-20260506-95A046E1
合约编号：OPT-SZZSCF20260013
期权类型：雪球
标的信息：002382.SZ 蓝帆医疗
当日剩余可申请平仓名义本金：1,000,000
合约剩余名义本金：1,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：9
单号：CO-20260506-342454E3
合约编号：OPT-SZZSCF20260014
期权类型：雪球
标的信息：002382.SZ 蓝帆医疗
当日剩余可申请平仓名义本金：1,000,000
合约剩余名义本金：1,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：10
单号：CO-20260506-97966B4F
合约编号：OPTG-SZZSCF20260005
期权类型：雪球
标的信息：601168.SH 西部矿业
当日剩余可申请平仓名义本金：1,000,000
合约剩余名义本金：1,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：11
单号：CO-20260506-7B4CFE2F
合约编号：OPTG-SZZSCF20260007
期权类型：欧式看涨
标的信息：000155.SZ 川能动力
当日剩余可申请平仓名义本金：1,000,000
合约剩余名义本金：1,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：12
单号：CO-20260506-3A7EED62
合约编号：OPTG-SZZSCF20260008
期权类型：参与型看涨
标的信息：600007.SH 中国国贸
当日剩余可申请平仓名义本金：1,000,000
合约剩余名义本金：1,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：13
单号：CO-20260506-46B09D90
合约编号：OPTG-SZZSCF20260009
期权类型：雪球
标的信息：002382.SZ 蓝帆医疗
当日剩余可申请平仓名义本金：1,000,000
合约剩余名义本金：1,000,000
是否可平仓：是

如需平仓，请引用本消息回复【持仓序号或合约编号】【平仓名义本金】【平仓价格方式】。
例如：序号1，200w,市价下单
例如：序号1，限价10,200w
例如：序号1，POV 25%,限价10,200w
例如：序号1，TWAP,13:00-14:00,限价10,200w",,,,,,,,,,
,,,A股标的下单全流程：用户@机器人输入买卖指令，系统返回订单详情并要求补充交易对手,用户在微信群中，机器人已接入,标的：000001.SZ 平安银行，数量：5000股，方向：买入，价格类型：市价,1,"用户在微信群中@机器人输入指令：""000001 买入3100股，限价18.25元 @场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种、委托数量、委托方向、价格类型，并提示【待补充：交易对手】，列出可选交易对手列表（普通交易对手A-D、总单交易对手E-F），要求用户引用本消息补充【交易对手】,已通过,,,,,,,,,
,,,用户补充交易对手后，系统返回确认信息,案例1已执行，机器人已返回待补充交易对手的订单详情,交易对手：C（11125测试短名 张天琪专用）,2,"用户引用机器人返回的订单消息，回复交易对手选项（如""C""）","机器人返回更新后的场外收益互换详情（交易对手已填充），并提示""如订单无误，请引用本消息回复【确认下单】""",已通过,,,,,,,,,
,,,用户确认下单，系统提交订单并返回处理中状态,案例2已执行，机器人已返回带交易对手的确认信息,确认指令：确认下单,3,"用户引用机器人返回的确认消息，回复""确认下单""","机器人返回：""互换订单{单号}：订单处理中，请稍候。"" 随后推送交易中状态消息，包含：交易对手、已成交数量、已成交均价、已成交金额（初始均为0）",已通过,,,,,,,,,
,,,订单提交后推送交易中状态,案例3已执行，订单已提交,订单状态：交易中,4,系统自动推送,"机器人推送消息：
""互换订单{单号}交易中：交易对手：%s，已成交数量：%s，已成交均价：%s，已成交金额：%s""", ,,,,,,,,,
,,,互换改单，交易品种为 A 股，改单请求提交后提示语校验：互换订单 {订单号}：订单处理中，请稍候。,已经使用A股确认下单且订单是交易中状态, 确认改单,5,"用户在微信群中引用交易中信息输入指令：
“确认改单”","机器人返回:
互换订单{订单号}：订单处理中，请稍候。",A股下单状态为废单状态无法改单,,,,,,,,,
,,,互换改单，交易品种为 A 股，订单状态为待审核时提示语校验：互换订单 {订单号}：已收到您的改单请求，待交易员审核。,,,6,（无需操作）,"机器人返回:
互换订单{订单号}：已收到您的改单请求，待交易员审核。",,,,,,,,,,
,,,互换改单，交易品种为 A 股，改单成功（原单撤单、新单生成）时提示语校验,,,7,（无需操作）,"机器人返回：

原互换订单 {订单号} 已撤单：
交易对手：% s
已成交数量：% s
已成交均价：% s
已成交金额：% s

新互换订单 {订单号} 已报：
交易对手：% s
已成交数量：% s
已成交均价：% s
已成交金额：% s",,,,,,,,,,
,,,港股标的下单全流程：用户@机器人输入买卖指令，系统返回订单详情并要求补充交易对手,用户在微信群中，机器人已接入,标的：0700.HK 腾讯控股，数量：3100股，方向：买入，价格类型：市价,1,"用户在微信群中@机器人输入指令：""0700 买入3100股，市价 @场外AI交易助手测试C""",机器人返回场外收益互换详情，包含：单号、标的代码、标的名称、交易品种、委托数量、委托方向、价格类型，并提示【待补充：交易对手】，列出可选交易对手列表（普通交易对手A-D、总单交易对手E-F），要求用户引用本消息补充【交易对手】,已通过,,,,,,,,,
,,,用户补充交易对手后，系统返回确认信息,案例1已执行，机器人已返回待补充交易对手的订单详情,交易对手：C（11125测试短名 张天琪专用）,2,"用户引用机器人返回的订单消息，回复交易对手选项（如""C""）","机器人返回更新后的场外收益互换详情（交易对手已填充），并提示""如订单无误，请引用本消息回复【确认下单】""",已通过,,,,,,,,,
