产品类型,案例目录,案例编号（非必填）,相关参数,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
,,,,,,,,,,,,,,,,,,,
,,,,期权开仓：盘前（<9:00）提交开仓 TWAP，未填开始 / 结束时间，机器人回显的TWAP算法是默认9：00-14：45,已询价,茅台100call 1m,1,"用户在微信群中@机器人输入指令：""茅台100call""","机器人返回：
-----场外期权询价详情-----
单号：Q-20260515-9563183616
期权类型：欧式看涨
标的代码：600519.SH
标的名称：贵州茅台酒股份有限公司
方向：看涨
期限：1M
行权价格：100%
期权费率：3.4%
名义本金：待补充
建仓指令：待补充
当前额度：6000万元（具体可交易额度以下单时的额度为准）
交易对手：待补充

如需下单，请引用本消息补充【交易对手】【名义本金】【建仓指令】。本群可选交易对手列表：
A.临沂阿凡提
B.11125测试短名（张天琪专用）
C.测试111
D.10011账户组测试短名

例如：A，200w 市价下单
例如：A，限价10,200w
例如：A，POV 25%,限价10,200w
例如：A，TWAP,13:00-14:00,限价10,200w",,,,,,,,,,
,,,,,,"A，TWAP,限价10,200w",2,"用户在微信群中引用询价消息输入指令：""A，TWAP,限价10,200w""","机器人返回：
-----场外期权询价详情-----
单号：Q-20260515-9563183616
期权类型：欧式看涨
标的代码：600519.SH
标的名称：贵州茅台酒股份有限公司
方向：看涨
期限：1M
行权价格：100%
期权费率：3.4%
建仓方式：TWAP
限定价格：10.00
TWAP时间(2026-05-15)：9:00-14:45
名义本金：200万
当前额度：6000万元（具体可交易额度以下单时的额度为准）
交易对手：临沂阿凡提

若订单无误，请引用本消息回复【确认下单】",,,,,,,,,,
,,,,期权开仓：盘中（9:00~14:47）提交开仓 TWAP，未填开始 / 结束时间，机器人回显的TWAP算法时间是默认 当前时间-14：45,已询价,茅台100call 1m,1,"用户在微信群中@机器人输入指令：""茅台100call""","机器人返回：
-----场外期权询价详情-----
单号：Q-20260515-9563183616
期权类型：欧式看涨
标的代码：600519.SH
标的名称：贵州茅台酒股份有限公司
方向：看涨
期限：1M
行权价格：100%
期权费率：3.4%
名义本金：待补充
建仓指令：待补充
当前额度：6000万元（具体可交易额度以下单时的额度为准）
交易对手：待补充

如需下单，请引用本消息补充【交易对手】【名义本金】【建仓指令】。本群可选交易对手列表：
A.临沂阿凡提
B.11125测试短名（张天琪专用）
C.测试111
D.10011账户组测试短名

例如：A，200w 市价下单
例如：A，限价10,200w
例如：A，POV 25%,限价10,200w
例如：A，TWAP,13:00-14:00,限价10,200w",,,,,,,,,,
,,,,,,"A，TWAP,限价10,200w",2,"用户在微信群中引用询价消息输入指令：""A，TWAP,限价10,200w""","机器人返回：
-----场外期权询价详情-----
单号：Q-20260515-9563183616
期权类型：欧式看涨
标的代码：600519.SH
标的名称：贵州茅台酒股份有限公司
方向：看涨
期限：1M
行权价格：100%
期权费率：3.4%
建仓方式：TWAP
限定价格：10.00
TWAP时间(2026-05-15)：9:00-14:45
名义本金：200万
当前额度：6000万元（具体可交易额度以下单时的额度为准）
交易对手：临沂阿凡提

若订单无误，请引用本消息回复【确认下单】",,,,,,,,,,
,,,,期权开仓：14:42:00提交开仓 TWAP，未填开始 / 结束时间，机器人提示当前时间距离收盘不足 5 分钟，不支持下算法单,已询价,茅台100call 1m,1,"用户在微信群中@机器人输入指令：""茅台100call""","机器人返回：
-----场外期权询价详情-----
单号：Q-20260515-9563183616
期权类型：欧式看涨
标的代码：600519.SH
标的名称：贵州茅台酒股份有限公司
方向：看涨
期限：1M
行权价格：100%
期权费率：3.4%
名义本金：待补充
建仓指令：待补充
当前额度：6000万元（具体可交易额度以下单时的额度为准）
交易对手：待补充

如需下单，请引用本消息补充【交易对手】【名义本金】【建仓指令】。本群可选交易对手列表：
A.临沂阿凡提
B.11125测试短名（张天琪专用）
C.测试111
D.10011账户组测试短名

例如：A，200w 市价下单
例如：A，限价10,200w
例如：A，POV 25%,限价10,200w
例如：A，TWAP,13:00-14:00,限价10,200w",,,,,,,,,,
,,,,,,,2,"用户在微信群中引用询价消息输入指令：""A，TWAP,限价10,200w""","机器人返回：
-----场外期权询价详情-----
单号：Q-20260515-9563183616
期权类型：欧式看涨
标的代码：600519.SH
标的名称：贵州茅台酒股份有限公司
方向：看涨
期限：1M
行权价格：100%
期权费率：3.4%
建仓方式：【待补充】
限定价格：10.00
名义本金：200万
当前额度：6000万元（具体可交易额度以下单时的额度为准）
交易对手：临沂阿凡提

【请补充参数：建仓方式】例如：限价单10/市价单/POV25,限价6/TWAP13:00-14:00,限价10",,,,,,,,,,
,,,,期权平仓：盘前（<9:00）提交开仓 TWAP，未填开始 / 结束时间，机器人回显的TWAP算法是默认9：00-14：45,已查持仓,查可平持仓,1,"用户在微信群中@机器人输入指令：""查可平持仓""","机器人返回：
以下是您的期权持仓：
-----场外期权持仓详情-----
序号：1
单号：CO-20260511-430E78FE
合约编号：OPT-QHSJ120260001
期权类型：欧式看涨
标的信息：000155.SZ 川能动力
当日剩余可申请平仓名义本金：10,000,000
合约剩余名义本金：10,000,000
是否可平仓：是",,,,,,,,,,
,,,,,,"TWAP,限价10,200w",2,"用户在微信群中引用持仓消息输入指令：""TWAP,限价10,200w""","以下平仓申请，请核对详情后确认：
-----场外期权平仓详情-----
序号：1
合约编号：OPTG-SZZSCF20260009
单号：CO-20260515-848B5156
申请时间：2026-05-15 16:27
期权类型：雪球
标的代码：002382.SZ
标的名称：蓝帆医疗
交易方向：卖出
平仓名义本金：10,000,000
平仓价格方式：TWAP
限定价格：10.0000
起始时间：9:00
结束时间：14:57
 
若要对以上订单执行平仓操作，请引用本消息回复【确认平仓】",,,,,,,,,,
,,,,期权平仓：盘中（9:00~14:47）提交开仓 TWAP，未填开始 / 结束时间，机器人回显的TWAP算法时间是默认 当前时间-14：45,已查持仓,查可平持仓,1,"用户在微信群中@机器人输入指令：""查可平持仓""",,,,,,,,,,,
