产品类型,案例目录,案例编号（非必填）,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
,,,互换下单，交易品种为 A 股，POV 算法单，限价单,,"300750.SZ，POV10，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""300750.SZ，POV10，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：
-----场外收益互换详情----- 
单号：H-20260515-7259574464
标的代码：300750.SZ
标的名称：宁德时代新能源科技股份有限公司
交易品种：A股
委托数量：100股
委托方向：买入
价格类型：限价委托
算法类型：POV
POV比例：10%
算法开始时间：2026-05-15 18:35:15
算法结束时间：2026-05-15 20:00:00
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为 A 股，TWAP 算法单，限价单,,"300750.SZ，TWAP，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""300750.SZ，TWAP，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：
-----场外收益互换详情----- 
单号：H-20260515-4756992000
标的代码：300750.SZ
标的名称：宁德时代新能源科技股份有限公司
交易品种：A股
委托数量：100股
委托方向：买入
价格类型：限价委托
算法类型：TWAP
算法开始时间：2026-05-15 18:37:45
算法结束时间：2026-05-15 20:00:00
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为 A 股，VWAP 算法单，限价单,,"300750.SZ，VWAP，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""300750.SZ，VWAP，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：
-----场外收益互换详情----- 
单号：H-20260515-5261794864
标的代码：300750.SZ
标的名称：宁德时代新能源科技股份有限公司
交易品种：A股
委托数量：100股
委托方向：买入
价格类型：限价委托
算法类型：VWAP
算法开始时间：2026-05-15 18:38:32
算法结束时间：2026-05-15 20:00:00
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为 A 股，非算法单，限价单,,"300750.SZ，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""300750.SZ，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：-----场外收益互换详情----- 
单号：H-20260515-1655161344
标的代码：300750.SZ
标的名称：宁德时代新能源科技股份有限公司
交易品种：A股
委托数量：100股
委托方向：买入
价格类型：限价委托
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为深港通，POV 算法单，限价单,,"0200.HK，POV10，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""0200.HK，POV10，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：
-----场外收益互换详情----- 
单号：H-20260515-5560501610
标的代码：0200.HK
标的名称：新濠国际发展
交易品种：港股
委托数量：100股
委托方向：买入
价格类型：限价委托
算法类型：POV
POV比例：10%
算法开始时间：2026-05-15 18:40:29
算法结束时间：2026-05-15 20:10:00
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为深港通，TWAP/VWAP 算法单，限价单,,"0200.HK，TWAP，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""0200.HK，TWAP，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：-----场外收益互换详情----- 
单号：H-20260515-6462239232
标的代码：0200.HK
标的名称：新濠国际发展
交易品种：港股
委托数量：100股
委托方向：买入
价格类型：限价委托
算法类型：TWAP
算法开始时间：2026-05-15 18:41:46
算法结束时间：2026-05-15 20:10:00
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为沪港通，POV 算法单，限价单,,"沪港通0013.HK，POV10，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""0013.HK，POV10，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：
-----场外收益互换详情----- 
单号：H-20260515-4491749376
标的代码：0013.HK
标的名称：和黄医药
交易品种：沪港通
委托数量：100股
委托方向：买入
价格类型：限价委托
算法类型：POV
POV比例：10%
算法开始时间：2026-05-15 18:44:02
算法结束时间：2026-05-15 20:10:00
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为 沪港通，TWAP/VWAP 算法单，限价单,,"沪港通0013.HK，TWAP，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""沪港通0013.HK，TWAP，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：
-----场外收益互换详情----- 
单号：H-20260515-1611635200
标的代码：0013.HK
标的名称：和黄医药
交易品种：沪港通
委托数量：100股
委托方向：买入
价格类型：限价委托
算法类型：TWAP
算法开始时间：2026-05-15 18:46:04
算法结束时间：2026-05-15 20:10:00
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
[沪港通0013.HK]匹配到其他标的：
1. 0013.HK - 和黄医药（已默认）
2. HCM.O - HUTCHMED
如果以上标的均不是目标标的，请联系对口销售或交易员
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为深港通 / 沪港通，非算法单，限价单,,"沪港通0013.HK，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""沪港通0013.HK，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：
-----场外收益互换详情----- 
单号：H-20260515-3884801600
标的代码：0013.HK
标的名称：和黄医药
交易品种：沪港通
委托数量：100股
委托方向：买入
价格类型：限价委托
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
,,,互换下单，交易品种为港股，POV 算法单，限价单,,"港股9868.HK ，POV10，买入100股限价10,11125测试短名（张天琪专用）",1,"用户在企业微信群中@机器人输入指令：""港股9868.HK ，POV10，买入100股限价10,11125测试短名（张天琪专用）""","机器人返回：
-----场外收益互换详情----- 
单号：H-20260515-7144274944
标的代码：9868.HK
标的名称：小鹏汽车-W
交易品种：港股
委托数量：100股
委托方向：买入
价格类型：限价委托
算法类型：POV
POV比例：10%
算法开始时间：2026-05-15 18:48:10
算法结束时间：2026-05-15 20:10:00
限定价格：10
交易对手：11125测试短名（张天琪专用）
 
如订单无误，请引用本消息回复【确认下单】",已通过,,,,,,,,,
