产品类型,案例目录,案例编号（非必填）,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
,,TC-OI-001,普通询价，用户提供全部必填字段（标的+期权类型+期限+执行价），验证正常生成询价单,,宁德时代，100call，1M,1,"用户在微信群中@机器人输入指令：
“询价”",机器人提示：未能从您的指令中识别到有效标的，请联系对口销售或交易员。,,,,,,,,,,
,,TC-OI-002,普通询价，用户只提供标的名称（不提供标的代码），验证系统能解析并正常询价,,"茅台,80%,1M",1,"用户在微信群中@机器人输入指令：
“欧式看涨,,80%,1M”","机器人返回：
-----场外期权询价详情-----
单号：Q-20260513-5127304192
期权类型：欧式看涨
标的代码：【待补充】
标的名称：【待补充】
方向：看涨
期限：1M
行权价格：80%

【请补充参数：标的代码】例如：000560.SZ
请引用本消息补充【标的代码】",,,,,,,,,,
,,TC-OI-003,普通询价，用户只提供标的代码（不提供标的名称），验证系统能解析并正常询价,,"000001.SZ，100%,1M",1,"用户在微信群中@机器人输入指令：
“茅台，欧式看涨,1M”",,,,,,,,,,,
,,TC-OI-004,"普通询价，用户缺少标的（既无代码也无名称），验证系统提示""标的必填""",,"100%,1M",,,,,,,,,,,,,
,,TC-OI-006,"普通询价，用户写了非欧式看涨的期权类型（如""欧式看跌""），验证系统拦截并提示仅支持欧式看涨",,,,,,,,,,,,,,,
,,TC-OI-007,"普通询价，用户缺少期限，验证系统提示""期限必填""",,600000.SH100%,,,,,,,,,,,,,
,,TC-OI-008,"普通询价，用户缺少执行价百分比，验证系统提示""执行价必填""",,600000.SH，1M,,,,,,,,,,,,,
,,TC-OI-015,快速询价，雪球产品，用户提供全部必填字段（询价指令+产品结构+雪球子类型+标的+期限+执行价+敲入价+敲出价+保证金），验证正常询价,,"雪球,600284.SH,80.00%/103.00%,6M,20.00%",,,,,,,,,,,,,
,,TC-OI-016,"快速询价，雪球产品缺少敲入价，验证系统提示""敲入价必填""",,,,,,,,,,,,,,,
,,TC-OI-017,"快速询价，雪球产品缺少敲出价，验证系统提示""敲出价必填""",,,,,,,,,,,,,,,
,,TC-OI-018,"快速询价，雪球产品缺少保证金，验证系统提示""保证金必填""",,,,,,,,,,,,,,,
,,TC-OI-019,快速询价，雪球产品缺少雪球子类型，验证系统提示子类型必填,,,,,,,,,,,,,,,
,,TC-OI-020,快速询价，参与型产品，验证参与率为必填（或系统提示参与率必填）,,,,,,,,,,,,,,,
,,TC-OI-021,快速询价，缺少产品结构（productType），验证系统提示产品结构必填,,,,,,,,,,,,,,,
,,TC-OI-022,快速询价，缺少询价指令（chatInstrument），验证系统提示询价指令必填,,,,,,,,,,,,,,,
,,TC-OI-023,快速询价，下游未返回有效产品，验证系统提示错误或引导重新输入,,,,,,,,,,,,,,,
,,TC-OI-024,"询价缺参数时，验证补参回显消息中 ""待补充项""置于消息顶部（而非卡片底部），用户第一眼看到需补充什么",,,,,,,,,,,,,,,
,,TC-OI-025,"询价缺参数时，验证 ""已确认参数""置底折叠 展示，不抢占视觉权重",,,,,,,,,,,,,,,
,,TC-OI-026,"询价只缺 1 项时，验证引导文案为""直接回复{值}即可""，不回显完整确认单卡片",,,,,,,,,,,,,,,
,,TC-OI-027,"询价缺 2-3 项时，验证给出 组合输入示例（如""标的 A 期限 1M""），引导用户一次补齐",,,,,,,,,,,,,,,
,,TC-OI-028,"询价参数有 硬冲突（如用户写了非欧式看涨），验证使用 ⚠️ 参数冲突 措辞，不使用""温馨提示""",,,,,,,,,,,,,,,
,,TC-OI-029,"询价有未解决的冲突/缺失时，验证 不展示""请确认下单""引导，避免用户误确认",,,,,,,,,,,,,,,
,,TC-OI-030,"询价缺参数，用户仅补了部分（未一次补全），验证系统回显""已更新""+""仍缺项""，不丢失已补字段",,,,,,,,,,,,,,,
,,TC-OI-031,询价成功后生成 orderId，验证后续请求下单可正常引用该询价单,,,,,,,,,,,,,,,
,,TC-OI-032,询价成功后超过有效期（默认 15 小时）再请求下单，验证系统提示订单已过期,,,,,,,,,,,,,,,
,,TC-OI-033,询价单已作废后用户尝试请求下单，验证系统提示订单已作废,,,,,,,,,,,,,,,
,,,期权开仓，下市价单参数完整，验证正常生成确认单,,,,,,,,,,,,,,,
,,,期权开仓，下限价单参数完整，验证正常生成确认单,,,,,,,,,,,,,,,
,,,期权开仓，下POV算法单参数完整，验证正常生成确认单,,,,,,,,,,,,,,,
,,,期权开仓，下TWAP算法单参数完整，验证正常生成确认单,,,,,,,,,,,,,,,
,,,期权开仓，缺少建仓方式，验证机器人引导必填,,,,,,,,,,,,,,,
,,,期权开仓，缺少名义本金，验证机器人引导必填,,,,,,,,,,,,,,,
,,,期权开仓，下pov单缺少pov比例，验证机器人引导必填,,,,,,,,,,,,,,,
,,,期权开仓，下pov单，pov比例取值错误>25%，验证机器人提示错误并引导必填,,,,,,,,,,,,,,,
,,,期权开仓，下pov单缺少限价，验证机器人引导必填,,,,,,,,,,,,,,,
,,,期权开仓，下pov单，pov比例取值错误>25%，验证机器人提示错误并引导必填,,,,,,,,,,,,,,,
,,,期权开仓，下TWAP单缺少限价，验证机器人引导必填,,,,,,,,,,,,,,,
,,,期权开仓，下TWAP单，算法时间错误（开始时间晚于结束时间），验证机器人引导必填,,,,,,,,,,,,,,,
,,,期权开仓，下TWAP单，算法时间错误（结束时间必须晚于开始时间），验证机器人引导必填,,,,,,,,,,,,,,,
,,,期权开仓，下TWAP单，算法时间错误（结束时间需比开始时间至少晚5分钟），验证机器人引导必填,,,,,,,,,,,,,,,
,,,期权平仓：完整参数-限价单,用户已查可平持仓且机器人已返回持仓列表,序号1，限价10，200w,,,,,,,,,,,,,
,,,期权平仓：完整参数-市价单,,序号2，市价下单，300w,,,,,,,,,,,,,
,,,期权平仓：完整参数-POV单,,序号1，POV 25%，200w,,,,,,,,,,,,,
,,,期权平仓：缺失价格方式,,序号1，200w,,,,,,,,,,,,,
,,,期权平仓：缺失限定价格,,序号1，限价，200w,,,,,,,,,,,,,
,,,期权平仓：POV缺比例,,序号1，POV，限价10，200w,,,,,,,,,,,,,
,,,期权平仓：缺失名义本金,,序号1，限价10,,,,,,,,,,,,,
,,,期权平仓：缺失序号,,限价10，200w,,,,,,,,,,,,,
,,,期权平仓：多项缺失,,序号1,,,,,,,,,,,,,
,,,期权平仓：序号不存在,,序号99，限价10，200w,,,,,,,,,,,,,
,,,期权平仓：超额度,,0,,,,,,,,,,,,,
,,,期权平仓：缺1项-简化引导,,序号1，限价，200w,,,,,,,,,,,,,
,,,期权平仓：缺多项-组合示例,,序号1,,,,,,,,,,,,,
,,,期权平仓：有缺失不展示确认引导,,序号1，限价，200w,,,,,,,,,,,,,
,,,期权平仓：分步补全-不丢已填,,"第1次：""序号1，限价""；第2次：""200w""",,,,,,,,,,,,,
,,,期权平仓：合约编号定位,,OPT-LYAFT20260001，限价10，200w,,,,,,,,,,,,,
,,,期权平仓：批量-多笔完整,,"序号1，限价10，200w；
序号2，市价下单，300w",,,,,,,,,,,,,
,,,期权平仓：批量-部分缺参数,,"序号1，限价10，200w；
序号2，限价",,,,,,,,,,,,,
,,,期权平仓：批量-全部缺价格方式,,序号1，200w；序号2，300w,,,,,,,,,,,,,
,,,期权平仓：批量-某笔序号不存在,,"序号1，限价10，200w；
序号99，市价下单，300w",,,,,,,,,,,,,
,,,期权平仓：批量-某笔超额度,,"序号1，限价10，2000w；
序号2，市价下单，300w",,,,,,,,,,,,,
