测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注
"期权开仓下单-建仓指令含""最大跟量""-映射POV25%","用户已在微信群中发送询价指令：【300098.SZ,100%call,1M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",200w 最大跟量  限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",通过
"期权开仓下单-建仓指令含""尽快成交""-映射POV25%","用户已在微信群中发送询价指令：【300098.SZ,100%call,2M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",300w 尽快成交 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",建仓方式：市价单
"期权开仓下单-建仓指令含""拉满跟量""-映射POV25%","用户已在微信群中发送询价指令：【300098.SZ,100%call,4M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",100w 拉满跟量 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",建仓方式：市价单
"期权开仓下单-建仓指令含""按最快的方式成交""-映射POV25%","用户已在微信群中发送询价指令：【300098.SZ,100%call,5M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",300w 按最快的方式成交 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",建仓方式：市价单
"期权开仓下单-建仓指令含""速度优先""-映射POV25%","用户已在微信群中发送询价指令：【300098.SZ,100%call,6M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",500w 速度优先 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-建仓指令含""全速跟""-映射POV25%","用户已在微信群中发送询价指令：【300098.SZ,100%call,7M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",200w 全速跟 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-建仓指令含""立刻成交""-映射POV25%","用户已在微信群中发送询价指令：【300098.SZ,100%call,8M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",150w 立刻成交 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-建仓指令含""尽快跟量""-映射POV25%","用户已在微信群中发送询价指令：【300098.SZ,100%call,9M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",400w 尽快跟量 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",建仓方式：市价单
"期权开仓下单-建仓指令明确指定""POV25%""-按用户指定配置","用户已在微信群中发送询价指令：【300098.SZ,100%call,10M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",300w POV25% 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-建仓指令为""市价下单""不含口语化跟量-不映射POV25%","用户已在微信群中发送询价指令：【300098.SZ,100%call,11M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",200w 市价下单 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-建仓指令含""最大跟量""同时明确""POV10%""-明确值优先","用户已在微信群中发送询价指令：【300098.SZ,100%call,12M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",200w 最大跟量 POV10% 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-建仓指令含""尽快成交""同时明确""参与率15%""-明确值优先","用户已在微信群中发送询价指令：【300098.SZ,100%call,13M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",200w 尽快成交 参与率15% 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-建仓指令含""最大跟量""同时明确""成交占比20%""-明确值优先","用户已在微信群中发送询价指令：【300098.SZ,100%call,14M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",200w 最大跟量 成交占比20% 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-建仓指令含""尽快成交""+""限价10""-POV25%限价单组合","用户已在微信群中发送询价指令：【300098.SZ,100%call,15M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",限价10，500w 尽快成交 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-建仓指令含""最大跟量""+""市价""-POV25%市价单组合","用户已在微信群中发送询价指令：【300098.SZ,100%call,16M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",300w 市价 最大跟量 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
"期权开仓下单-建仓指令含""尽快成交""和""TWAP""同时出现-算法冲突提示","用户已在微信群中发送询价指令：【300098.SZ,100%call,17M】，机器人已返回询价详情单号，待补充交易对手、名义本金、建仓指令",500w 尽快成交 TWAP 限价6,,引用询价消息回复【测试数据】,"返回询价详情
其中：POV比例：25%",
