产品类型,案例目录,案例编号（非必填）,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
机器人,,,验证： @机器人输入完整且准确的互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,"HTIF2504 1657股 买入 市价 占35%  14:00-15:00
",1,"用户在微信群中输入下单指令：“A组合 HTIF2504 空 1657股 市价 占35%  14:00-15:00
”","机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间等，并提示用户下一步步骤","互换下单
（指令完整且准确）",phq,正案例,高,2025/10/13,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换下单,
机器人,,,验证： @机器人输入完整且准确的互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,确认下单,2,用户引用上一条机器人消息输入下单指令：“确认下单”,"机器人返回：
订单号，提示用户已接收下单指令，等待交易员审核","互换下单
（指令完整且准确）",,,,,,,,,
机器人,,,验证： @机器人输入完整且准确的互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,,3,,"机器人提示：
交易员审核通过/不通过（结束）","互换下单
（指令完整且准确）",,,,,,,,,
机器人,,,验证： @机器人输入完整且准确的互换下单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限。,,4,,"机器人返回交易中信息：
每一次的成交信息，直到终态（全部成交/部分成交）","互换下单
（指令完整且准确）",,,,,,,,,
机器人,,,验证： @机器人输入完整且准确的互换下总单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限，所在群聊交易对手>2。,1209.HK 限价9 买入 1200 TWAP 13：00-14：00,1,"用户在微信群中输入下单指令：“1209.HK 限价9 买入 1200 TWAP 13：00-14：00
”","机器人提示：
请指定交易对手","互换下总单
（指令完整且准确）",phq,正案例,高,2025/10/13,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换下单,
机器人,,,验证： @机器人输入完整且准确的互换下总单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限，所在群聊交易对手>2。,23（群内总单交易对手）,2,用户引用上一条机器人消息补全：“23”,"机器人返回：
互换订单参数信息，包含：标的、方向、数量、价格类型、算法、时间、交易对手等，并提示用户下一步步骤","互换下总单
（指令完整且准确）",,,,,,,,,
,,,验证： @机器人输入完整且准确的互换下总单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限，所在群聊交易对手>2。,确认下单,3,用户引用上一条机器人消息输入下单指令：“确认下单”,"机器人返回：
订单号，提示用户已接收下单指令，等待交易员审核","互换下总单
（指令完整且准确）",,,,,,,,,
机器人,,,验证： @机器人输入完整且准确的互换下总单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限，所在群聊交易对手>2。,,4,,"机器人提示：
交易员审核通过/不通过（结束）","互换下总单
（指令完整且准确）",,,,,,,,,
机器人,,,验证： @机器人输入完整且准确的互换下总单指令，机器人能正确识别意图,用户已登录微信，并加入机器人所在群聊且有业务权限，所在群聊交易对手>2。,,5,,"机器人返回交易中信息：
每一次的成交信息，直到终态（全部成交/部分成交）","互换下总单
（指令完整且准确）",,,,,,,,,
,,,验证： @机器人输入缺少交易对手的互换下单指令，机器人能引导用户选择,用户已登录微信，并加入机器人所在群聊且有业务权限，所在群聊交易对手>2。,沪港通0700.HK 卖出 100股 限价 pov10% 10:30-10:32,1,"用户在微信群中输入下单指令：“沪港通0700.HK 卖出 100股 限价 pov10% 10:30-10:32
”","机器人：
提示群内含多个交易对手并列出，引导用户选择交易对手","互换下单
（群内交易对手>2，用户未指定）",phq,反案例,高,2025/11/7,待自动化,"开发自测,
冒烟测试,
业务验收,集成测试",,互换下单,
