产品类型,案例目录,案例编号（非必填）,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
机器人,,,验证： @机器人 单个欧式期权询价指令，使用中文逗号分隔参数，机器人能正确解析,用户已登录微信，并加入机器人所在群聊且有业务权限。,"600519.SH，欧式看涨,1M，80%",1,"用户在微信群中@机器人输入询价指令：
“600519.SH，欧式看涨,1M,80%”","机器人返回:
贵州茅台欧式看涨期权（期限1M，执行价格80%）的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。","
中文逗号分隔

",phq,正案例,高,2025/8/4,待自动化,"开发自测,冒烟测试,集成测试,业务验收,
最小功能用例集",,期权询价,否
机器人,,,验证：@机器人 欧式看涨期权询价分隔号兼容：中文分号,用户已登录微信，并加入机器人所在群聊且有业务权限。,600519.SH；欧式看涨；1M；80%,1,"用户在微信群中@机器人输入询价指令：
“600519.SH；欧式看涨；1M；80%”","机器人返回:
贵州茅台欧式看涨期权（期限1M，执行价格80%）的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。","中文分号分隔
",phq,正案例,高,2025/8/14,待自动化,"开发自测,最小功能用例集",,期权询价,否
机器人,,,验证：@机器人 欧式看涨期权询价分隔号兼容：中文顿号,用户已登录微信，并加入机器人所在群聊且有业务权限。,600519.SH、欧式看涨、1M、80%,1,"用户在微信群中@机器人输入询价指令：
“600519.SH、欧式看涨、1M、80%”","机器人返回:
贵州茅台欧式看涨期权（期限1M，执行价格80%）的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。","中文顿号分隔
",phq,正案例,高,2025/8/14,待自动化,"开发自测,最小功能用例集",,期权询价,否
机器人,,,验证：@机器人 欧式看涨期权询价分隔号兼容：中文冒号,用户已登录微信，并加入机器人所在群聊且有业务权限。,"
标的：600519.SH
类型：欧式看涨
期限：1/2M
执行价：80%
",1,"用户在微信群中@机器人输入询价指令：
“标的：600519.SH
类型：欧式看涨
期限：1/2M
执行价：80%”","机器人返回:
贵州茅台欧式看涨期权（期限1M，执行价格80%）的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。","中文冒号分隔
",phq,正案例,高,2025/8/14,待自动化,"开发自测,最小功能用例集",,期权询价,否
机器人,,,验证：@机器人 欧式看涨期权询价分隔号兼容：英文逗号,用户已登录微信，并加入机器人所在群聊且有业务权限。,"600519.SH,欧式看涨,1M,80%",1,"用户在微信群中@机器人输入询价指令：
“600519.SH,欧式看涨,1M,80%”","机器人返回:
贵州茅台欧式看涨期权（期限1M，执行价格80%）的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。","英文逗号分隔
",phq,正案例,高,2025/8/14,待自动化,"开发自测,最小功能用例集",,期权询价,否
机器人,,,验证：@机器人 欧式看涨期权询价分隔号兼容：英文分号,用户已登录微信，并加入机器人所在群聊且有业务权限。,600519.SH;欧式看涨;1M;80%,1,"用户在微信群中@机器人输入询价指令：
“600519.SH;欧式看涨;1M;80%”","机器人返回:
贵州茅台欧式看涨期权（期限1M，执行价格80%）的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。","英文逗号分隔
",phq,正案例,高,2025/8/14,待自动化,"开发自测,最小功能用例集",,期权询价,否
机器人,,,验证：@机器人 欧式看涨期权询价分隔号兼容：英文顿号,用户已登录微信，并加入机器人所在群聊且有业务权限。,"600519.SH,欧式看涨,1M,80%",1,"用户在微信群中@机器人输入询价指令：
“600519.SH,欧式看涨,1M,80%”","机器人返回:
贵州茅台欧式看涨期权（期限1M，执行价格80%）的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。","英文顿号分隔
",phq,正案例,高,2025/8/14,待自动化,"开发自测,最小功能用例集",,期权询价,否
机器人,,,验证：@机器人 欧式看涨期权询价分隔号兼容：英文冒号,用户已登录微信，并加入机器人所在群聊且有业务权限。,"
标的:600519.SH
类型:欧式看涨
期限:1/2M
执行价:80%",1,"用户在微信群中@机器人输入询价指令：
“标的:600519.SH
类型:欧式看涨
期限:1/2M
执行价:80%”","机器人返回:
贵州茅台欧式看涨期权（期限1M，执行价格80%）的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。","英文冒号分隔
",phq,正案例,高,2025/8/14,待自动化,"开发自测,最小功能用例集",,期权询价,否
机器人,,,验证：@机器人 询价指令的期限支持大小写,用户已登录微信，并加入机器人所在群聊且有业务权限。,"300098.SZ,100%call,1M",1,"用户在微信群中@机器人输入询价指令：
“300098.SZ,100%call,1M”","机器人返回:
300098.SZ欧式看涨期权（期限1M，执行价格80%）的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。","
期限大写",phq,正案例,高,2025/8/14,待自动化,"开发自测,最小功能用例集",,期权询价,否
机器人,,,验证：@机器人 询价指令的期限支持大小写,用户已登录微信，并加入机器人所在群聊且有业务权限。,"300098.SZ,100%call,1m",2,"用户在微信群中@机器人输入询价指令：
“300098.SZ,100%call,1m”","机器人返回:
300098.SZ欧式看涨期权（期限1M，执行价格80%）的实时报价信息，包含：标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）。","快速询价
期限小写",phq,正案例,高,2025/8/14,待自动化,"开发自测,最小功能用例集",,期权询价,否
机器人,,,验证：@机器人 多个标的欧式期权询价指令，机器人能正确解析,用户已登录微信，并加入机器人所在群聊且有业务权限。,"002597，002074，002690，603308，603198，欧式看涨，1M,105%",1,"用户在微信群中@机器人输入询价指令：
“002597，002074，002690，603308，603198，欧式看涨，1M,105%”","机器人返回:
002597、002074、002690、603308、603198欧式看涨期权（期限1M，执行价105%）的实时报价信息，包含:标的代码、标的名称、期限、期权类型、执行价格%、交易方向、期权费率、名义本金规模（待补充）、建仓指令（待补充）",多标指令输入,phq,正案例,高,2025/8/6,待自动化,"开发自测,冒烟测试,集成测试,业务验收,最小功能用例集",,期权询价,否
