产品类型,案例目录,案例编号（非必填）,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能,是否安全用例
,,,,,查可平持仓,1,"用户在微信群中@机器人输入指令：
“查可平持仓”"," @彭惠琪 (6101e090-90a1-487c-88c2-100d865911c0)
以下是您的期权持仓：
-----场外期权持仓详情-----
序号：1
单号：CO-20260506-DEAF117C
合约编号：OPT-LYAFT20260001
期权类型：欧式看涨
标的信息：000155.SZ 川能动力
当日剩余可申请平仓名义本金：10,000,000
合约剩余名义本金：10,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：2
单号：CO-20260506-D28AC140
合约编号：OPT-SZZSCF20260001
期权类型：欧式看涨
标的信息：000155.SZ 川能动力
当日剩余可申请平仓名义本金：10,000,000
合约剩余名义本金：10,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：3
单号：CO-20260506-ED06B6DE
合约编号：OPT-SZZSCF20260002
期权类型：参与型看涨
标的信息：600007.SH 中国国贸
当日剩余可申请平仓名义本金：10,000,000
合约剩余名义本金：10,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：4
单号：CO-20260506-7C8DEF06
合约编号：OPT-SZZSCF20260004
期权类型：雪球
标的信息：002382.SZ 蓝帆医疗
当日剩余可申请平仓名义本金：10,000,000
合约剩余名义本金：10,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：5
单号：CO-20260506-C22AACDB
合约编号：OPT-SZZSCF20260005
期权类型：安全气囊
标的信息：300166.SZ 东方国信
当日剩余可申请平仓名义本金：10,000,000
合约剩余名义本金：10,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：6
单号：CO-20260506-09FEDE19
合约编号：OPT-SZZSCF20260011
期权类型：参与型看涨
标的信息：600007.SH 中国国贸
当日剩余可申请平仓名义本金：10,000,000
合约剩余名义本金：10,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：7
单号：CO-20260506-974C43D0
合约编号：OPT-SZZSCF20260012
期权类型：参与型看涨
标的信息：600007.SH 中国国贸
当日剩余可申请平仓名义本金：10,000,000
合约剩余名义本金：10,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：8
单号：CO-20260506-95A046E1
合约编号：OPT-SZZSCF20260013
期权类型：雪球
标的信息：002382.SZ 蓝帆医疗
当日剩余可申请平仓名义本金：1,000,000
合约剩余名义本金：1,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：9
单号：CO-20260506-342454E3
合约编号：OPT-SZZSCF20260014
期权类型：雪球
标的信息：002382.SZ 蓝帆医疗
当日剩余可申请平仓名义本金：1,000,000
合约剩余名义本金：1,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：10
单号：CO-20260506-97966B4F
合约编号：OPTG-SZZSCF20260005
期权类型：雪球
标的信息：601168.SH 西部矿业
当日剩余可申请平仓名义本金：1,000,000
合约剩余名义本金：1,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：11
单号：CO-20260506-7B4CFE2F
合约编号：OPTG-SZZSCF20260007
期权类型：欧式看涨
标的信息：000155.SZ 川能动力
当日剩余可申请平仓名义本金：1,000,000
合约剩余名义本金：1,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：12
单号：CO-20260506-3A7EED62
合约编号：OPTG-SZZSCF20260008
期权类型：参与型看涨
标的信息：600007.SH 中国国贸
当日剩余可申请平仓名义本金：1,000,000
合约剩余名义本金：1,000,000
是否可平仓：是
-----场外期权持仓详情-----
序号：13
单号：CO-20260506-46B09D90
合约编号：OPTG-SZZSCF20260009
期权类型：雪球
标的信息：002382.SZ 蓝帆医疗
当日剩余可申请平仓名义本金：1,000,000
合约剩余名义本金：1,000,000
是否可平仓：是

如需平仓，请引用本消息回复【持仓序号或合约编号】【平仓名义本金】【平仓价格方式】。
例如：序号1，200w,市价下单
例如：序号1，限价10,200w
例如：序号1，POV 25%,限价10,200w
例如：序号1，TWAP,13:00-14:00,限价10,200w",,,,,,,,,,
,,,期权平仓，用户指令为「全平」，按可平仓名义本金全额平仓,已查询持仓列表, 序号1市价全平,1,"用户在微信群中引用持仓列表输入指令：
“序号1市价全平”","机器人返回:
以下平仓申请，请核对详情后确认：
-----场外期权平仓详情-----
序号：1
合约编号：OPT-LYAFT20260001
单号：CO-20260506-DEAF117C
申请时间：2026-05-06 15:03
期权类型：欧式看涨
标的代码：000155.SZ
标的名称：川能动力
交易方向：卖出
平仓名义本金：10,000,000
平仓价格方式：市价单
若要对以上订单执行平仓操作，请引用本消息回复【确认平仓】",通过,,,,,,,,,
,,,期权平仓，用户指令为「平一半」，按可平仓名义本金的 50% 平仓,已查询持仓列表, 序号1市价平一半,1,"用户在微信群中引用持仓列表输入指令：
“序号1市价平一半”","机器人返回:
以下平仓申请，请核对详情后确认：
-----场外期权平仓详情-----
序号：1
合约编号：OPT-LYAFT20260001
单号：CO-20260506-DEAF117C
申请时间：2026-05-06 15:03
期权类型：欧式看涨
标的代码：000155.SZ
标的名称：川能动力
交易方向：卖出
平仓名义本金：5,000,000
平仓价格方式：市价单
若要对以上订单执行平仓操作，请引用本消息回复【确认平仓】",通过,,,,,,,,,
,,,期权平仓，用户指令为「平三分之一」，按可平仓名义本金的 33% 平仓,,序号二 限10平三分之一,1,"用户在微信群中引用持仓列表输入指令：
“序号二 限10平三分之一”","机器人返回:
以下平仓申请，请核对详情后确认：
-----场外期权平仓详情-----
序号：1
合约编号：OPT-SZZSCF20260001
单号：CO-20260506-D28AC140
申请时间：2026-05-06 15:04
期权类型：欧式看涨
标的代码：000155.SZ
标的名称：川能动力
交易方向：卖出
平仓名义本金：3,333,333
平仓价格方式：限价单
限定价格：10.00
若要对以上订单执行平仓操作，请引用本消息回复【确认平仓】",通过,,,,,,,,,
,,,期权平仓，用户指令为「平1/4」，按可平仓名义本金的 25% 平仓,,序号1市价平1/4,,"用户在微信群中引用持仓列表输入指令：
“序号1市价平1/4”","机器人返回:
以下平仓申请，请核对详情后确认：
-----场外期权平仓详情-----
序号：1
合约编号：OPT-LYAFT20260001
单号：CO-20260506-85AB8526
申请时间：2026-05-06 16:02
期权类型：欧式看涨
标的代码：000155.SZ
标的名称：川能动力
交易方向：卖出
平仓名义本金：2,500,000
平仓价格方式：市价单
 
若要对以上订单执行平仓操作，请引用本消息回复【确认平仓】",通过,,,,,,,,,
,,,期权平仓，用户指令为「平七成」，按可平仓名义本金的 70% 平仓,,OPT-SZZSCF20260004，市价平 7 成,1,"用户在微信群中引用持仓列表输入指令：
“OPT-SZZSCF20260004，市价平 7 成”","机器人返回:
以下平仓申请，请核对详情后确认：
-----场外期权平仓详情-----
序号：1
合约编号：OPT-SZZSCF20260004
单号：CO-20260506-7C8DEF06
申请时间：2026-05-06 15:05
期权类型：雪球
标的代码：002382.SZ
标的名称：蓝帆医疗
交易方向：卖出
平仓名义本金：7,000,000
平仓价格方式：市价单
若要对以上订单执行平仓操作，请引用本消息回复【确认平仓】",通过,,,,,,,,,
,,,期权平仓，用户指令为「平50%」，按可平仓名义本金的 50% 平仓,,序号1 市价平50%的名本,1,"用户在微信群中引用持仓列表输入指令：
“序号1 市价平50%的名本”","机器人返回:
以下平仓申请，请核对详情后确认：
-----场外期权平仓详情-----
序号：1
合约编号：OPT-LYAFT20260001
单号：CO-20260506-DEAF117C
申请时间：2026-05-06 15:21
期权类型：欧式看涨
标的代码：000155.SZ
标的名称：川能动力
交易方向：卖出
平仓名义本金：5,000,000
平仓价格方式：市价单
 
若要对以上订单执行平仓操作，请引用本消息回复【确认平仓】",通过,,,,,,,,,
,,,期权平仓，用户指令为「平掉所有持仓」，按可平仓名义本金全额平仓,,序号1 市价平掉所有持仓,1,"用户在微信群中引用持仓列表输入指令：
“序号1 市价平掉所有持仓”","机器人返回:
以下平仓申请，请核对详情后确认：
-----场外期权平仓详情-----
序号：1
合约编号：OPT-LYAFT20260001
单号：CO-20260506-DEAF117C
申请时间：2026-05-06 15:03
期权类型：欧式看涨
标的代码：000155.SZ
标的名称：川能动力
交易方向：卖出
平仓名义本金：10,000,000
平仓价格方式：市价单
若要对以上订单执行平仓操作，请引用本消息回复【确认平仓】",通过,,,,,,,,,
,,,期权平仓，用户指令为「把这张期权平一半」，按该合约可平仓名义本金的 50% 平仓,,序号1 市价把这张期权平一半,1,"用户在微信群中引用持仓列表输入指令：
“序号1 市价把这张期权平一半”","机器人返回:
以下平仓申请，请核对详情后确认：
-----场外期权平仓详情-----
序号：1
合约编号：OPT-LYAFT20260001
单号：CO-20260506-DEAF117C
申请时间：2026-05-06 15:21
期权类型：欧式看涨
标的代码：000155.SZ
标的名称：川能动力
交易方向：卖出
平仓名义本金：5,000,000
平仓价格方式：市价单
 
若要对以上订单执行平仓操作，请引用本消息回复【确认平仓】",通过,,,,,,,,,
,,,期权平仓，用户指令为「平剩到 200 万名本」，平仓至剩余名义本金 200 万,,序号1市价平剩到 200 万名本,1,"用户在微信群中引用持仓列表输入指令：
“序号1市价平剩到 200 万名本”","机器人返回:
以下平仓申请，请核对详情后确认：
-----场外期权平仓详情-----
序号：1
合约编号：OPT-LYAFT20260001
单号：CO-20260506-DEAF117C
申请时间：2026-05-06 15:18
期权类型：欧式看涨
标的代码：000155.SZ
标的名称：川能动力
交易方向：卖出
平仓名义本金：8,000,000
平仓价格方式：市价单
若要对以上订单执行平仓操作，请引用本消息回复【确认平仓】",通过,,,,,,,,,
