案例编号（非必填）,测试概述,前置条件,测试数据,操作步骤名称（非必填）,操作步骤,预期结果,备注
,完整参数-限价单,用户已查可平持仓且机器人已返回持仓列表,序号1，限价10，200w,"引用持仓消息回复：""序号1，限价10，200w""",,全部字段已识别，无需补全,
,完整参数-市价单,,序号2，市价下单，300w,"引用持仓消息回复：""序号2，市价下单，300w""",,全部字段已识别，无需补全,
,完整参数-POV单,,序号1，POV 25%，200w,"引用持仓消息回复：""序号1，POV 25%，200w""",,全部字段已识别，无需补全,
,缺失价格方式,,序号1，200w,"引用持仓消息回复：""序号1，200w""",,平仓价格方式：【待补充】,
,缺失限定价格,,序号1，限价，200w,"引用持仓消息回复：""序号1，限价，200w""",,限定价格：【待补充】,
,POV缺比例,,序号1，POV，限价10，200w,"引用持仓消息回复：""序号1，POV，限价10，200w""",,POV比例：【待补充】,
,缺失名义本金,,序号1，限价10,"引用持仓消息回复：""序号1，限价10""",,名义本金：【待补充】,
,缺失序号,,限价10，200w,"引用持仓消息回复：""限价10，200w""",,持仓序号：【待补充】,
,多项缺失,,序号1,"引用持仓消息回复：""序号1""",,平仓价格方式：【待补充】；名义本金：【待补充】,
,序号不存在,,序号99，限价10，200w,"引用持仓消息回复：""序号99，限价10，200w""",,序号99：【参数值错误】未在持仓列表中找到，当前可平持仓序号：1-3,
,超额度,,0,"引用持仓消息回复：""序号1，限价10，2000w""",,序号1，限价10，2000w,
,缺1项-简化引导,,序号1，限价，200w,"引用持仓消息回复：""序号1，限价，200w""",,限定价格：【待补充】。直接回复 10.2（元） 即可，不回显完整确认单卡片,
,缺多项-组合示例,,序号1,"引用持仓消息回复：""序号1""",,平仓价格方式：【待补充】；名义本金：【待补充】。引导一次补齐，例如：市价下单 200w 或 限价10 200w,
,有缺失不展示确认引导,,序号1，限价，200w,"引用持仓消息回复：""序号1，限价，200w""",,"表单含【待补充】项，不展示""请核对详情后确认""",
,分步补全-不丢已填,,"第1次：""序号1，限价""；第2次：""200w""","1.引用持仓消息回复：""序号1，限价""；2.机器人回显后用户再次回复：""200w""",,名义本金：【待补充】→ 已识别。不丢失已补充字段（序号1、平仓价格方式限价单）,
,合约编号定位,,OPT-LYAFT20260001，限价10，200w,"引用持仓消息回复：""OPT-LYAFT20260001，限价10，200w""",,全部字段已识别，无需补全,
,批量-多笔完整,,"序号1，限价10，200w；
序号2，市价下单，300w","引用持仓消息回复：""序号1，限价10，200w；序号2，市价下单，300w""",,全部字段已识别，无需补全,
,批量-部分缺参数,,"序号1，限价10，200w；
序号2，限价","引用持仓消息回复：""序号1，限价10，200w；序号2，限价""",,序号2 限定价格：【待补充】；序号2 名义本金：【待补充】,
,批量-全部缺价格方式,,序号1，200w；序号2，300w,"引用持仓消息回复：""序号1，200w；序号2，300w""",,序号1 平仓价格方式：【待补充】；序号2 平仓价格方式：【待补充】,
,批量-某笔序号不存在,,"序号1，限价10，200w；
序号99，市价下单，300w","引用持仓消息回复：""序号1，限价10，200w；序号99，市价下单，300w""",,序号99：【参数值错误】未在持仓列表中找到，当前可平持仓序号：1-3,
,批量-某笔超额度,,"序号1，限价10，2000w；
序号2，市价下单，300w","引用持仓消息回复：""序号1，限价10，2000w；序号2，市价下单，300w""",,"序号1 名义本金：【参数值错误】申请本金20,000,000超过当日剩余可平仓额度10,000,000",
