案例目录,案例编号,测试概述,前置条件,操作步骤,测试数据,操作步骤名称,预期结果,备注,设计人员,案例类型,优先级,设计日期,自动化状态,标签类型,一站式用例编号(非必填),测试功能
,,“@场外AI交易助手测试C NVDA.O平800股市价”,,向企微BOT发送下单指令“@场外AI交易助手测试C NVDA.O平800股市价”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：NVDA.O标的名称：英伟达(NVIDIA)交易品种：美股委托数量：800股委托方向：卖出价格类型：市价委托交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 800股已成交均价： *已成交金额： *,,,,,,,,,
,,“@场外AI交易助手测试C 英伟达平200股市价”,,向企微BOT发送下单指令“@场外AI交易助手测试C 英伟达平200股市价”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：NVDA.O标的名称：英伟达(NVIDIA)交易品种：美股委托数量：200股委托方向：平空价格类型：市价委托交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 200股已成交均价： *已成交金额： *,,,,,,,,,
,,9988.hk 买150股 价格125@场外AI交易助手测试C,,向企微BOT发送下单指令“9988.hk 买150股 价格125@场外AI交易助手测试C”并@企微BOT,,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：9988.HK标的名称：阿里巴巴-SW交易品种：港股委托数量：150股委托方向：买入价格类型：限价委托价格：125交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
,,,,引用企微BOT回复的订单并向企微BOT发送确认下单指令“确认下单”,,2,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx：下单指令已确认，订单处理中，请稍候。,,,,,,,,,
,,,,等待交易全部成交，企微BOT回复,,3,企微BOT返回：互换订单H-xxxxxxxx-xxxxxxxxxx全部成交：交易对手：企微群默认交易对手已成交数量： 150股已成交均价： *已成交金额： *,,,,,,,,,
,,"买2手CU260716.LME, 限价13450 @场外AI交易助手测试C",,"向企微BOT发送下单指令“买2手CU260716.LME, 限价13450 @场外AI交易助手测试C”并@企微BOT",,1,企微BOT返回：-----场外收益互换详情-----单号：H-xxxxxxxx-xxxxxxxxxx标的代码：CU260716.LME标的名称：CU260716交易品种：跨境期货委托数量：2手委托方向：买入价格类型：限价委托价格：13450交易对手：默认交易对手  如订单无误，请引用本消息回复【确认下单】,通过,,,,,,,,
